"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_default_pokemon_list_response","tests.pokemon","2026-04-19","broken","2026-04-19","TestPokemonList","test_pokemon_list","",""
"","3","test_pokemon_is_returned_by_id","tests.pokemon","2026-04-19","broken","2026-04-19","TestPokemons","test_pokemon","",""
